,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结,漫画地址
12,烙印战士,三浦建太郎,日本漫画,"冒险,热血,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/1/199.jpg,烙印战士漫画 ，《烙印战士》是著名漫画家三浦健太郎的力作。 作品中表现了光明与黑暗的强烈对比与扭曲，这也正是《剑风》的最大魅力。把灵魂出卖给恶魔的格里菲斯作为黑暗的神之手，却被称为“光之鹰”，而与黑暗抗争的格斯，却是提都不能提的“黑色剑士”；喜爱性虐的宗教骑士团团长，喜爱娈童的总督大人，对女儿产生情欲的国王，这些表里不一，黑白颠倒的人们，构成了书中形形色色的角色。,已完结,http://www.ccdm13.com/manhua/10697/
13,虫奉行 月刊版,福田宏,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/12/5895.jpg,虫奉行 月刊版漫画 ，在津轻的内地努力修行剑道的月岛仁兵卫，在某日接到上头的命令，而去江户工作。仁兵卫深感到武士荣耀而感到兴奋，哪里知道任务的目标是消灭强大的大虫。 ~~这个版本是虫奉行月刊连载版本，单行本共三本。,已完结,http://www.ccdm13.com/manhua/10575/
14,秘境探险部,久远まこと,日本漫画,"搞笑,校园,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/12/5806.jpg,秘境探险部漫画 ，转学生东圭太被迫加入由有点奇怪的同班同学．七濑未来担任社长的秘境探险社。所谓秘境指的是人迹罕至的场所。虽然这些地方一直存在我们身边，但却各有其无法涉足的理由……奇妙系☆社团活动校园喜剧登场！一部吐槽点满载的漫画！,已完结,http://www.ccdm13.com/manhua/10374/
15,恶之华,押见修造,日本漫画,"爱情,校园,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/1/341.jpg,恶之华漫画 ，这是一个变态与一个施虐女王还有一个乖乖女之间的恋爱故事。三个人本应平行的生命轨迹，因为一次放课后错误的决定， 交汇到一起。错能到多深，爱能到何时？ 第一话的序章，春日高男是个相貌普通，成绩一般的文学少年，不善于和别人交流的他喜欢着波德莱尔的《恶之华》（又名《恶之花》， 是一部描写面对纸醉金迷，伦理崩坏社会的青年人对人生感悟和踌躇历程的著作），同时他也暗恋着班级上众望所归的焦点， 佐伯奈奈子。放课后高男本想返校取回遗漏在教室的《恶之华》，却发现佐伯的体操服被丢在地板上…… 接下来的错误举动被同班的女生仲村佐和目击到。 一场扭曲变态的爱恋正在悄然展开。,连载中,http://www.ccdm13.com/manhua/10300/
16,文学少女与美味故事,野村美月&日吉丸晃,日本漫画,"校园,治愈,职场,高清单行本,轻小说",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/12/5510.jpg,文学少女与美味故事漫画 ，天野远子，对世上所有故事及文学喜爱得会亲口将其吃掉的「文学少女」，以及曾经化名为美少女（？）蒙面作家的井上心叶（♂）。在文艺社里两人之间的互动，都细细描绘於单篇完结的各话故事里。 每回用为题材的文学作品，则会在附录漫画《「文学少女」今天的点心》中，由「文学少女」的角色全员出动做解说。还请各位一并享用?,连载中,http://www.ccdm13.com/manhua/10180/
17,文学少女与恋爱的诗人,野村美月&日吉丸晃,日本漫画,"校园,治愈,职场,高清单行本,轻小说",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/12/5509.jpg,文学少女与恋爱的诗人漫画 ，町亮太不慎将信投进了悄悄摆於中庭的「恋爱谘询」信箱。 在翩然降临的文学少女天野远子唆使下，一手拿着诗集的他开始对同班同学森展开猛烈追求，然而…… 【这次的诗集】 ◎海因里希?海涅　◎乔治?戈登?拜伦　 ◎中原中也　◎罗宾德拉纳特?泰戈尔,连载中,http://www.ccdm13.com/manhua/10179/
18,医龙,乃木坂太郎,日本漫画,"职场,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/12/5563.jpg,医龙漫画 ，医疗类的漫画杰作 在这个以教授顶点的医学界里面，当权者将瀆职和医疗失误视为理所当然，肆无忌惮地让病人成为牺牲品。唯一曾经在NGO里担任世界级医疗队伍领导者的日本人．朝田龙太郎，誓要将腐败不堪的大学医院制度连根拔起！ 揭开医生、病人、护士、教授、医疗企业和医院内等级制度的矛盾与摩擦的作品， 《医龙》最爽的就是主角无论是精神还是医术都是凡人无可匹敌的强，尤其是面对教授老爷子的时候，颇有鬼冢的风范…… 主角被刻画的很强，接近绝对的强，无论是信念与医术。所以在面对医界的弊端与黑暗时无力感相对的少了很多，也只能作为让人看着比较爽快的漫画了，至少在一面揭露的同时还能对抗，而不只是畏缩……,已完结,http://www.ccdm13.com/manhua/10119/
19,不思议游戏-玄武开传,渡濑悠宇,日本漫画,"东方神鬼,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/12/5615.jpg,"不思议游戏-玄武开传漫画 ，玄武开传是讲述「不思议游戏」的起源物语──玄武巫女的传说 时为大正年代。 奥田多喜子本故事之主角, 自幼因父亲单独到中国考察而缺乏父爱, 父亲回来, 母亲病逝, 多喜子更狠父亲, 正当想撕毁四神天地书之际被吸进书里... 但却她突然被父亲所翻译的中国书籍──「四神天地书」所吸掉。 落到异世界中,多喜子一路中遇上廉杜(女宿)男主角, 多喜子首位遇见的七星士, 能控制风, 当他使用「风」之时, 身体会特变为女性. 他既是悬红通缉犯, 亦是皇太子, 只因一个预言, 便弄得被父王追杀... 并得知自己身负「玄武的巫女」的命运,又遇到杉迦(虚宿)七星士之一, 一心捉廉杜的赏金猎人, 误以未多喜子是廉杜的女人而捉了她, 过后才得知她是巫女, 因为被母亲所迫, 只好硬著头皮与巫女展开了呼唤玄武之旅程...",已完结,http://www.ccdm13.com/manhua/10094/
20,NANA世上另一个我,矢泽爱,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/4/1774.jpg,NANA世上另一个我漫画 ，大崎娜娜，小松奈奈，两个名字念起来相同的女生，在一天，在列车上，相遇了。。于是，她们的世界精彩了起来。,连载中,http://www.ccdm13.com/manhua/10070/
21,宇宙兄弟,小山宙哉,日本漫画,"科幻,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/5/2451.jpg,宇宙兄弟漫画 ，年少时代，哥哥六太与弟弟日日人眺望著星空，立下了誓约。 2025年，弟弟达成誓言，当上了太空人，成為第一次长期居留月球的太空人组员之一。 而哥哥六太却被公司给开除，成了无业游民。 直到弟弟寄来一封电子邮件，才让哥哥重新面对梦想，朝目标迈进。,连载中,http://www.ccdm13.com/manhua/10066/
22,终极保镖,国友泰士,日本漫画,高清单行本,JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/11/5307.jpg,终极保镖漫画 ，警视厅搜查一课的刑警，荒木猛志。某日目击成为SP的好友·饭田执行“最后的工作”，于是开始对自己身为警察的生活产生疑问。因此，才开始打算过平稳第二人生的他，从那一天以后，命运就改变了！描绘执行赌上性命工作的男人之感动作品！,已完结,http://www.ccdm13.com/manhua/9995/
23,江~魔王之残焰~,魔木子,日本漫画,"东方神鬼,历史,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/11/5345.jpg,江~魔王之残焰~ 漫画 ，23岁的阿江，是织田信长的外甥女。在出生后不久，生父浅井家就被灭，她的继父柴田胜家也因为败给丰臣秀吉而与她的亲生母亲阿市一同自尽。跟著茶茶、阿初二位姊姊一起到了丰臣家的她，二度婚姻却都不顺利。第三次她嫁的对象则是德川家康的三男秀忠……究竟阿江具有什麼样的魔力，能让秀吉无比畏惧，并在背后操控德川家康掌控天下？,已完结,http://www.ccdm13.com/manhua/9993/
24,内衣教父,新田龙雄,日本漫画,"冒险,职场,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/5/2248.jpg,"内衣教父漫画 ，日本全关东最大黑社会组织新鲜组总长近腾勇足在自己门前被暗杀，嫌疑犯是关西鬼洲组系所为。组内以肘方会与生仓组两大势力为了争夺总长的位置闹得天翻地覆，最后双方不得不同意由白天在内衣公司做设计工作的总长之子继承第三代头目，于是，这个内衣教父就诞生了...
以设计内衣为职业的黑社会老大作为主人公的精彩故事。情节紧凑、诙谐机智，双重身份的男主角，在帮派火拼的黑社会与平凡的上班族生活中交替穿梭，引人入胜的情节中和真挚感人的爱情描写使这部作品成为不可多得的佳作！（配角的刻画非常成功，不管是正面人物还是滑稽反派，都个性鲜明，很有看头）",连载中,http://www.ccdm13.com/manhua/9448/
25,GS美神极乐大作战,椎名高志,日本漫画,"搞笑,东方神鬼,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/10/4783.jpg,"GS美神极乐大作战漫画 ，20世纪末，生存空间愈来愈小，人类也从「人与天斗」、 「人与人斗」而进入「人与鬼斗」的时代——地产开发开始波及凶宅、坟地等等恶灵盘踞的地方。当驻留的恶灵们开始阻挠地产开发项目的进行时，地产商往往会因为地产业的丰厚利润而不惜重金寻求驱魔的帮助，而「除灵者（退魔师，GHOST BUSTER，缩写GS）」这种行业也大行其道，甚至组成同业公会，建立驱魔人的专业学校，举办资格考核，授予营业执照，甚至连神仙的道场也为职业驱魔人开放，用以修炼驱魔技艺。
　　美神令子，拥有引人注目的美貌身材，也是除灵业界的佼佼者，尽管有着第一流的除魔技艺，又有着丰厚的个人财产，但他最重要的特点却是她的人生信念：「赚钱第一 ！」因此，不仅利用美色引诱好色少年横岛忠夫为她卖命（薪水很少，时薪250円），连三百年前的女鬼小娟也找来打工（薪水更少，日薪30円）。
　　美神令子灵力高强，拥有兼备神和魔力量的神魔复合型灵力，还熟练使用各种退魔的神兵利器，如神通棍（格斗用）、灵体箭（对空用）、驱魔阵（防御和导出高级灵体）、精灵石（手榴弹？）、驱魔符（呃…依价格高低而有程度差异…）等等，当然，这些东西都很---贵！
　　被她退治的恶灵也是千奇百怪，抢钱不成含恨而亡的强盗、没拿到冠军就死亡的赛车手、还有一亿年前死亡的恐龙幽灵等等…甚至与龙族的邪神及魔族的杀手乃至希望毁灭魔族和神族，重新建立世界的超级大魔头都有交战。
　　除此之外，美神也有不少「同业」，像能操纵式神的六道冥子、使用巫术的小笠原安蜜、以及不死之身的炼金术师卡欧斯博士和他的机械女佣玛莉安、还有从事圣职的唐巢神父等等……同行之间偶尔有竞争，偶尔会合作，在恶灵横行的世纪末，向妖魔鬼怪挑战！",已完结,http://www.ccdm13.com/manhua/9331/
26,草莓100％,河下水希,日本漫画,"爱情,后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/10/4753.jpg,草莓100％漫画 ，真中淳平 梦想成为电影制片人，一天放学后在学校楼顶遇见一位穿草莓内裤的美少女，见到她在夕阳下的美丽身影，淳平顿时迷恋上了她。淳平错以为那位美少女定是校花西野司，在偶然的机会下淳平和相貌平平的东城绫聊上话，并且听从小绫的建议，以出人意料的方式向西野司告白，意外地获得小司的芳心。可是由于和小绫能够彼此谈论梦想，淳平非常珍惜他和小绫的关系，心情犹豫不决……,已完结,http://www.ccdm13.com/manhua/9298/
27,浪客行,井上雄彦,日本漫画,"格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/3/1225.jpg,浪客行漫画 ，十七岁的武藏及其友人本位田又八一起离开作州出征。可是，军队战败了，而二人侥倖生存，为了保住性命，二人遂逃出战场…… 变成逃兵后，一路被要剷除败军餘党的武士们追杀，后得阿甲及朱实这对母女的帮助，武藏及又八得到一阵子的休息。后来因惹上敌人，又八与阿甲为了保命，背弃武藏逃走了。武藏为了向又八的亲人交代而返回宫本村，途中因衝破门关卡而被追捕…… 返回宫本村的武藏被又八的母亲、村民和官府一同设下陷阱围困。武藏为了突围而作出反抗。另一方面，因官兵的无能及为了尽快平息事件，泽庵联同阿乙，一起出发捕捉武藏。武藏因飢饿及阿乙的出现而软化，最后晕倒在阿乙怀中…… 清醒后武藏发觉自己被吊在寺前古树上。多天任由日洒雨淋，在生死线上徘徊的武藏，就在要被之时，被泽庵所救，但泽庵却带其往「葬身之地」……,已完结,http://www.ccdm13.com/manhua/9285/
28,我的达令有点怪,菊地华麻吕,日本漫画,"搞笑,爱情,生活亲情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/7/3096.jpg,我的达令有点怪漫画 ，忍者后裔的古怪型男错认我为未婚妻!? 一向代理母职的姊姊突然跟人私奔，留下樱孤伶伶的一个人。随后班上转来了一个谜样男子?小太郎，他的真面目竟是…忍者！小太郎误以为樱就是他寻找中的未婚妻，于是登堂入室，展开了两人的同居生活…!?打破成规的忍忍者LOVE，在此参见!,连载中,http://www.ccdm13.com/manhua/9261/
29,将太的寿司全国大赛篇,寺泽大介,日本漫画,"搞笑,美食,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/6/2919.jpg,"将太的寿司全国大赛篇漫画 ，继味吉阳一《伙头智多星》后,期间己出了不少有关吃的漫画,然而却鲜有既富人情味,亦兼有教授煮食秘技之「吃作」。",连载中,http://www.ccdm13.com/manhua/9099/
30,密斯玛路卡兴国物语,浅川圭司,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/9/4428.jpg,密斯玛路卡兴国物语漫画 ，密斯玛路卡王国的王子玛费洛是个既不学习也不练剑，光喜欢夜游的游手好闲的王子。总是被近卫骑士帕莉耶鲁责骂。那个密斯玛路卡被以称霸大陆为目标的魔人帝国古朗马圣娜鲁的精锐军团逼进了。率领军团的是帝国首屈一指的战姬露娜斯。家臣们叫嚣着要彻底抗战，但是被托付以国家的玛费洛居然开始说“不如用谈话来解决吧？”这种软弱的话……绝体绝命密斯玛路卡的命运是！？,已完结,http://www.ccdm13.com/manhua/9014/
31,光之庭,袴田めら(袴田米良),日本漫画,"百合,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/8/3747.jpg,光之庭漫画 ，袴田めら老师的百合短篇系列。,已完结,http://www.ccdm13.com/manhua/8978/
32,虫师,漆原友纪,日本漫画,"冒险,东方神鬼,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/9/4001.jpg,"虫师漫画 ，另一个世界,住着一群与常见动植物孑然不同的生物。远古以来,人们敬畏地称它们为『虫』。当虫的世界和人的世界重合时,虫师银古便会出现。 　　介绍中提到的虫显然不是看上去肉呼呼扭动的小东西（这个概念一定要确立,否则会很别扭）,而是一种最接近生命本源,类似灵体的生物（依照这种说法,鬼魂也是虫的形态之一）。它们有自己的生存方式,而这种方式却可能有驳于人类的常识,甚至危害人类的生存。于是就出现了『虫师』这种职业,他们云游四方,对虫的生命形态,生存方式进行研究,并接受人们的委托,解决可能是由虫引起的怪异事件。银古,正是他们的一员。",连载中,http://www.ccdm13.com/manhua/8800/
33,课长千金,高地裕也,日本漫画,"搞笑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/9/4094.jpg,课长千金漫画 ，刚转学到新学校的高中生绫濑千鹤，因为外表与一举一动都看起来像是个大小姐，而被搬上同学误认为是大企业社长的女儿。其实只是个中小企业课长的女儿，家里住在国宅里的千鹤本来想解释，但是在接连的误会下，让她越来越没有机会说出实话，甚至还让谎言的雪球越滚越大，而她也只好继续在学校里假扮大小姐。但是绫濑家不只千鹤脱线，连哥哥、妹妹与爸爸都非常的脱线…,连载中,http://www.ccdm13.com/manhua/8692/
34,无限之住人,沙村广明,日本漫画,"格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/2/664.jpg,"无限之住人漫画 ，他原本是个信奉武士道的捕快，后来却发现自己的上司滥用职权贪污，并且还利用自己杀了不少因缴不出重税而向官府投诉的无辜农民。一怒之下，他便杀了自己的上司，展开逃亡。因为自己信奉的武士道精神破灭而怒是可以理解的，但是以杀人来泄忿…这性格也太暴烈了，只能说是他”赎罪”的意识太浓厚了吧。
在逃亡的过程中，他斩杀了为数以百计前来追杀他的捕快（也因此荣获”百人斩”的封号。两年内身旁就死了一百人…他过的日子其血腥程度恐怕仅次于金田一了）。不料，他所杀的第一百个捕快，正好是自己妹妹阿町的丈夫。阿町因此精神错乱，也在万次心中种下了一个巨大的遗憾。
后遇到身负血仇的孤女凛后，他决定帮助其报仇。他们两人、凛的仇人「逸刀流」、旨在剿灭逸刀流的幕府密探「无骸流」以及其他种种势力或个人，一起构成了这幅断肢与刀剑齐飞、仇恨共鲜血一色的画卷……",连载中,http://www.ccdm13.com/manhua/8634/
35,忧国的拉斯普金,伊藤润二,日本漫画,"悬疑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/8/3893.jpg,忧国的拉斯普金漫画 ，一个被人称为【外务省的拉斯普金】的男人，被东京地检特搜部逮捕。最深入苏联俄罗斯政权上层部的西方外交官，对北方领土归还充满热情的男人，为什么会被人以国策搜查的名义逮捕呢？以原外交官佐藤优的实际体验为依据，大胆描述了取调室内反复发生的事情和斗争！,连载中,http://www.ccdm13.com/manhua/8462/
0,零之地带,九条清,日本漫画,"冒险,东方神鬼,耽美,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/5/2302.jpg,零之地带漫画 ，魔都。东京。在充斥魑魅魍魎的街上，最近魔物数量突然异常的增多起来。斩妖除魔的 权威－－志万当家少主志万安吾，在得知消息后，为了退魔而转到东京的国中，在那里 ，他遇见了有点少根筋的惊奇脸少年－－九净三郎，就在和他熟稔之时，九净竟然被突 如其来的镰刀怪一刀砍掉了脑袋！九净丧命的同时，他带在身上的琥珀封印也碎裂瓦解 ，於是九净化为恶鬼－－净阿弥，从黄泉归来......,连载中,http://www.ccdm13.com/manhua/8456/
1,无敌怪医K2,真船一雄,日本漫画,"冒险,职场,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/8/3719.jpg,无敌怪医K2漫画 ，Dr.K的继承人终于出现在阳光底下！藉由神乎其技的医术，拯救病患脱离病痛！而K所遗留的手术刀中究竟藏有什么秘密？另外、面对恶劣的密医，K将会采取什么行动？,连载中,http://www.ccdm13.com/manhua/8353/
2,篮球飞人,井上雄彦,日本漫画,"竞技,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/8/3718.jpg,"篮球飞人漫画 ，樱木花道,湘北高校一年级生。在初中有被50个女生连续抛弃的历史。因第50个女生的一句“我喜欢的是篮球队的小田同学。”而对篮球深恶痛绝。上高中不经意被美少女赤木晴子的一句：“你喜欢篮球吗？”又燃起希望。为得到晴子的芳心,花道不顾一切的加入篮球队,并以惊人的速度进步。",连载中,http://www.ccdm13.com/manhua/8352/
3,情书,袴田めら(袴田米良),日本漫画,"百合,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/8/3701.jpg,情书漫画 ，想要交给那个人的情书竟然被风吹走了！可是那上面还写着她的名字——,连载中,http://www.ccdm13.com/manhua/8344/
4,军鸡,田中亚希夫&桥本以藏,日本漫画,"格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/6/2695.jpg,"军鸡 漫画 ，军鸡 指遇强越强,好勇斗狠的斗鸡,也是形容书中的男主角...",连载中,http://www.ccdm13.com/manhua/8316/
5,雨与初恋,袴田めら(袴田米良),日本漫画,"百合,高清单行本,性转换",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/8/3520.jpg,雨与初恋漫画 ，期待雨水是希望能成为靠近你的相合伞。,连载中,http://www.ccdm13.com/manhua/8267/
6,3×3EYES,高田裕三,日本漫画,"东方神鬼,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/7/3459.jpg,"3×3EYES漫画 ，民俗学者藤井教授单独前往西藏考察时失去行踪,四年后,一名身穿中国民俗服饰,并拿着教授的遗骨的遗书的少女,出现在教授的儿子藤井八云的面前。根据父亲信上所说,那少女能操纵不老不死的法术的幻之一族(三只眼吽迦罗)的后裔。她正在找寻成为人类的方法,八云知道后一笑置之,但是受到妖兽人面鸟的袭击受了重伤,快要死去之际,得少女阿佩的法术所救,之后成为不老不死的人(无)而复活,八云才亲身确认了其父亲在信上写的说话。因此,八云就和额头上有三只眼的少女阿佩一起,出发找寻可以变成人类的方法。
在香港的时候他们认识了,香港妖击社的李铃铃,同时也认识了黄瞬丽。但瞬即卷入一宗谋杀,并且受到魔物狙击,并知道鬼眼王的存在。当八云回到日本,暂时过回正常校园生活。不过好景不常,一些妖魔们为了得到不老不死身,不断骚扰八云及阿佩,今次八云好友夏了更被妖怪附身,目的就要令八云和阿佩攻其不备,结果成功制服了阿佩,八云为救夏子同阿佩以自己身昨为文换条件,就在这时三只眼出现救了他们,经过这次事件后,八云为了不接连累朋友,决定离开他们,再次出发寻找可以变成人类的方法……",连载中,http://www.ccdm13.com/manhua/8152/
7,B级美食小厨神,山仲刚太&鱼柄仁之助,日本漫画,"美食,职场,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/7/3422.jpg,"B级美食小厨神漫画 ，带着爸爸乱步留下来的遗物，１４岁少年独步虽然感到旁徨，却只能以浪迹天涯来掩盖心中的不安和伤痛。继承怪厨乱步的厨师血脉，他只要一遇到料理的难题，就会展露真性情并大展身手……
游历日本各地，以在地Ｂ级美食加上料理人的真情来调味，温暖人心的动作派料理漫画登场！
本集独步的脚步由北往南陆续经过鎌仓、横须贺，然後到了静冈县滨松，出现的美食则是横须贺的海军咖哩以及滨松的饺子！而且透过独步的好手艺，这两种在地美食都有了新生命，绝对让你口水直流唷！",连载中,http://www.ccdm13.com/manhua/8113/
8,护士小葵,越野凉,日本漫画,"职场,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/7/3421.jpg,护士小葵漫画 ，这是一本充满了护士在医院里工作时的「临场感」之正统护士漫画！美空葵，她是一个因为引发了某个「事件」，而被迫从巨大医疗集团机构「清天会」的本院调任至其旗下的地方医院「茜市民医院」的护士。不过茜市民医院却是个累积了诸多外人无法得知之问题的地方医院！,连载中,http://www.ccdm13.com/manhua/8112/
9,神枪少女,相田裕,日本漫画,"冒险,格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/5/2307.jpg,"神枪少女漫画 ，以欧洲为舞台。一国的公共社会福利机构以“为国家效力”等种种理由召集了很多的女孩。那些女孩被改造为附带条件的异能者用来从事暗杀工作。女孩们都有各自的上级责任官，他们管理命令女孩们，让她们去战斗。
　　依靠社会福利机构获得自由身体和工作的女孩们虽说每天穿梭于机构设施和杀戮现场，但她们还是很幸福的。即使这些幸福是别人给予的……",连载中,http://www.ccdm13.com/manhua/8079/
10,神曲奏界 黑,大迫纯一&米村孝一郎,日本漫画,"冒险,魔法,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/7/3402.jpg,神曲奏界 黑漫画 ，凶杀案是发生在豪宅的某个房间裡，绝代的神曲乐士欧索尼．库登达尔因为遭人从后脑杓开枪而死。从现场是密室状态来推断的第一嫌疑犯，就是他的契约精灵妮乌蕾奇娜。看起来状况非常确定，她也涉嫌重大。但是看到她眼睛深处散发出对死去的契约乐士的爱与绝望时，两名刑警挺身而出。娇小的玛提亚跟壮硕的马纳伽。路沙市警精灵课的两名黑衣人——黑色警部。当流下罪恶之泪，「黑色精灵」的翅膀将随着民谣口琴的音调展开！最棒又酷的「黑色神曲奏界」终于登场了！,连载中,http://www.ccdm13.com/manhua/8067/
11,笨蛋测验召唤兽,井上坚二&まったくモー助&夢唄,日本漫画,"搞笑,伪娘,后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/5/2374.jpg,笨蛋测验召唤兽漫画 ，　　>>点击观看动画版点击阅读小说版,连载中,http://www.ccdm13.com/manhua/8026/
12,打击王凛,佐野隆,日本漫画,"竞技,校园,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/7/3325.jpg,"打击王凛漫画 ，第一次的對決,寺與安長以平手坐收,但綠南卻利用對方先發投手的自大心理,率先取得兩分領先。不過,接下來綠北才剛要拿出真本事,面對冷酷的王牌投手．雄翔,綠南將如何應戰,安長與寺?的第二次對決,又將鹿死誰手？",已完结,http://www.ccdm13.com/manhua/8008/
13,完美小姐进化论,早川智子,日本漫画,"搞笑,爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/7/3284.jpg,完美小姐进化论漫画 ，女主角中原须奈子是个不爱打扮，不爱化妆的15岁女孩。兴趣是电影鉴赏（惊悚恐怖片）和收集（人体模型、骷髅头等）。在强光中3秒钟就会溶化，最见不得闪亮生物（就是帅哥靓女），因为会流泪流汗加流血。可是这样的女孩却偏偏和四个超闪亮男生——高野恭平、织田武长、森井兰丸、远山雪之丞住在须奈子姑姑的豪宅里。这四个男生因为房东阿姨，也就是须奈子姑姑的一句，“只要能把须奈子改造成淑女，今后三年房租全免！”而努力奋斗中，虽然他们在毫无防备的情况下见到须奈子会惊叫不已。但是须奈子打扮起来竟然是一位超级大美女？！今后的故事会怎样呢？须奈子会成为淑女吗？,连载中,http://www.ccdm13.com/manhua/7983/
14,守护猫娘绯鞠,的良みらん,日本漫画,"格斗,后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/2/693.jpg,守护猫娘绯鞠漫画 ，7年前双亲因事故身亡，独自一人生活的少年天河优人，在他16岁生日的那一天，谜之美少女绯鞠突然出现在他面前。并且从那一天开始，大量的妖开始袭击优人！原来优人是“鬼斩役十二家”之一天河家的后裔，而绯鞠则是因被天河家所拯救而对其宣誓效忠的猫妖一族后裔。向优人与绯鞠袭来的，并不仅仅是恐怖的妖怪。美少女也一个接一个不断地出现，以优人为目标的诱惑大战就此展开！？优人的青梅竹马凛子也被卷入其中，一场名为恋爱的战争就此开打！,连载中,http://www.ccdm13.com/manhua/7891/
15,红牌足球员,岛本和彦,日本漫画,"竞技,职场,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/7/3097.jpg,红牌足球员漫画 ，不论是谁，在睡眠之中一定做过梦…。但是有人会记得，有人却不会，这是因人而异的。我只是不愿意当个忘记梦想的大笨蛋啊！只有这样！！男人一踏出家门就要面对七名敌人！这是基本常识！！一个正确的东西，如果用了错误的方法，也会成为错误的东西；而一个错误误的…,已完结,http://www.ccdm13.com/manhua/7805/
16,热血车研社,村田雄介&太田垣康男,日本漫画,"校园,职场,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/7/3095.jpg,热血车研社漫画 ，小时候因为遭遇车祸而丧失父亲，从此变得很怕车子的青年金田翔太，现在为了赚取就读大学的学费而努力的工作。某一天，雇用他的亲戚要他把自己居住的公司仓库1楼借给东洋工科大学太阳能车计画团队的学生们。但没想到他们不只要翔太提供地方，还要翔太提供技术术指导！本来非常不愿意这么做的翔太，在与这些学生接触之后，感受到他们对太阳能车计画的热情，自己也开始主动提供技术指导，甚至融入他们之中，但没想到小时候引发那场让他失去父亲的车祸的人，居然是其中一位成员的父亲……,连载中,http://www.ccdm13.com/manhua/7804/
