,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结
3,僵尸借贷,PEACH-PIT,日本漫画,魔法,JPG,http://images.dmzj.com/webpic/0/zombieloan.jpg,纪多满是个「心中有话也不敢说出来」的懦弱少女。有一天，她看到半年前从一场意外中奇迹生还的两个同班同学赤月知桂与橘思徒的脖子上有奇妙的圈印。那是预言死亡的圈印！能看到圈印的满，为了想救他们，便偷偷接近他们，却现他们借了一大笔钱换取某种东西。由少女与两个少年编织而成的死亡与再生之灵魂故事。,已完结
4,只爱你一人,吉住涉,日本漫画,爱情,JPG,http://images.dmzj.com/webpic/3/zanyr.jpg,"原本对女孩子完全没有兴趣的十时集,
因为对班上的转学生栗原朱音一见钟情, 
所以对她的一举一动, 
都非常注意。
但是有一天, 
他居然发现了朱音一件大秘密!
那就是——朱音居然离过婚! 
",已完结
5,Clamp学园侦探团,CLAMP,日本漫画,侦探,JPG,http://images.dmzj.com/webpic/9/xyztt.jpg,"日本第一大财阀妹之山家族的幼子，风流潇洒却以解救天下女性为己任的妹之山残！不但拥有超级的记忆能力（对于女性任何事情的记忆力超越64位计算机！）、惊人的消化能力（情人节收到的成车的巧克力全部吃光都不会长胖一斤）、更加拥有果敢的决断和运动的神经（当女性遇到危险时可以从30层楼上往下跳），外加1000000瓦能量的微笑，保证能让任何女孩的心跳加快三倍.严肃认真不苟言笑的日本最神秘莫测的忍者家族继承人鹰村芳树！小学3年纪就是柔道3段、剑术3段，虽然外表冷淡内心却火热非常，兼有一项特别的火箭升空技术，不需任何燃料直接带你去月球旅游……堪称迷你夜叉王.新世纪新新好男人！不但一手厨艺无人可比，而且还有特别的神秘身份,学习,工作,恋爱三不误,最最温柔体贴的伊集院玲！为了解救天下陷入困境中的女性,前进!!!",已完结
6,幸运四叶草,安达充,日本漫画,"竞技,高清单行",JPG,http://images.dmzj.com/webpic/10/xysycV2.jpg,主人公树多村光有4个青梅竹马，分别是长女一叶、次女若叶、三女青叶、四女红叶四姐妹！都说四叶的苜蓿将会带来幸运，那么这四姐妹到底是带来光明的幸运女神呢？还是带来霉运的瘟神呢？呼唤幸运？的四叶的青春故事。,已完结
7,吸血游戏,JUDAL,日本漫画,魔法,JPG,http://images.dmzj.com/webpic/11/xxyx.jpg,吸血族之王社赛尔与菲力殴斯大战，菲力殴斯为了战胜社赛尔，而使用了自我牺牲法，让自己跟社赛尔一起消失，社赛尔在消失前说：百余年后你会投胎转世到拥有自己血统的人之一身上，届时我将再度苏醒，喝你的血，撕你的肉!让你的灵魂陷入永远的深渊!.....,已完结
8,武装炼金,和月伸宏,日本漫画,"冒险,魔法",JPG,http://images.dmzj.com/webpic/1/wzlj.gif,高中生武藤和树在无意间被怪物杀害，但是一位神秘的少女．斗贵子却赐给了他“核铁”以及新的生命！死而复活的和树成为一位武装炼金战士，决心保护人类，誓言消灭人造生体 !!,已完结
9,万有引力,村上真纪,日本漫画,纯爱,JPG,http://images.dmzj.com/webpic/2/wyyl.jpg,"新堂愁一一心想和好哥兒們中野浩司組成樂團，由新堂愁一擔任主唱且兼作詞作曲，中野浩司擔任吉他手。一天晚上，愁一打完工在回家的路上，遇見了生命中不可或缺的那個人―由貴瑛里。就在愁一還搞不清楚的狀態下，被由貴批評寫歌詞的才能是零，生命中也因此有了由貴這個人。
也許是不服由貴的批評，愁一只想再遇見一次由貴，硬是挺身攔截由貴的車子，也因此展開了兩人密不可分的關係。由貴一開始並不想承認其實他是喜歡愁一的，但愁一的不做作及真性情的個性，使得原本孤傲冷癖的個性，慢慢有所改變。
",已完结
10,无重力少年,亚月亮,日本漫画,爱情,JPG,http://images.dmzj.com/webpic/4/wuzhongli.jpg,"流风无视重力，走在墙壁上的情况被风子拍下了。其实流风拥有一种“能够操纵引力”的能力。风子想揭穿他的真面目，没想到自己也被他传染了……
　　船越流风是一个会超自然力量的人,他能不理会地球的引力,而用自己的引力能任意行走在任何地方,例如天花板,墙壁等,小波风子被流风这种超自然的力量所吸引,在一次偶然的机会下,被流风这种力量传染,使风子现在也有这一种力量.轻松及爆笑的爱情故事就此展开.......",已完结
11,武器种族传说,东麻由美,日本漫画,"魔法,高清单行",JPG,http://images.dmzj.com/webpic/7/wqzzcs.jpg,"空贼团""红山猫""的少年库多-杰尔埃特,因为一个偶然的机会,遇到了被封印在古老的箱子中的少女莱温莉-美莎兰斯,她正是一个艾迪莱特的族人.从长眠中苏醒的莱温莉说要去富饶和繁荣之地艾迪尔加泰找寻族人遗留下的最强武器,对她颇有兴趣的库多也决定同行.另一方面，保护艾迪莱特族的协会(圣战天使保护协会?)阿科艾尔的成员西丝卡、罗文,以及协会所属的艾迪莱特族的吉亚三人也要护送莱温莉.于是,库多、莱温莉再加上来自阿科艾尔的三个人,开始了这看上去颇为壮大但荒唐事不断的冒险之旅......
",已完结
12,维纳斯是单相思,中路有纪,日本漫画,"爱情,高清单行",JPG,http://images.dmzj.com/webpic/10/wns.jpg,"春天裏一次美麗的邂逅，在等待著剛開始大學生活的紗菜﹗其中
最令她心動的就是在參觀網球學會時見到的深見。紗菜想接近他，
卻出現了一個意料之外的情敵﹗？大學校園戀愛故事正式展開。不容錯過！
",已完结
