,漫画ID,标题,作者,封面,内容简介,是否完结,最新章节
49,204833,我家大师兄脑子有坑,剧象漫画,https://oss.mkzcdn.com/comic/cover/20180820/5b7a902fa7d66-600x800.jpg!cover-400,"
              东方纤云穿越到修真世界之后，发现自己竟然不是主角设定，而是个分分钟被“主角”炮灰的NPC！这不坑爹了吗？活下去才是硬道理啊！于是秉着“抱着主角大腿就能好好活着”的信念，满口现代宅男理论的怂人大师兄开始了寻找主角大腿的没节操生活……              ",连载中,第395话
50,213744,绝世飞刀,杭漫文化,https://oss.mkzcdn.com/comic/cover/20190219/5c6bc93b81abd-750x999.jpg!cover-400,"
              聂辰拾得灵戒，崛起于都市，看一届屌丝大学生如何纵览绝色美女，霸战各族天骄，身形所到之处，镇压万古群雄，飞刀破空之时，瞬杀诸天霸主              ",连载中,第177话 奢侈的早餐
51,213112,因爱宠你,小凤凰工作室,https://oss.mkzcdn.com/comic/cover/20190912/5d7a1b1b47aa8-750x999.jpg!cover-400,"
              【独家/每周一、四更新】开始——他把她抓进自己的黑城堡，成为众多复制品中的一个。“做我的女人。” “凭什么？你以为你帅你了不起啊！” “就凭你是我看上的。” “你……老娘不想陪你玩。” “玩不玩，是我说了算。”某男邪肆一笑。
——后来——“乖，叫一声老公听听。” “……” “不叫的话……”某男直接威胁 。“老公……公” “……”。以爱之名，与之吾心，所行之事，殊途同归。              ",连载中,第227话
52,210201,染色体47号,踏雪动漫,https://oss.mkzcdn.com/comic/cover/20180904/5b8e655794531-600x799.jpg!cover-400,"
              当他醒来的时候，整个世界都变了，末世来临，曾经的富豪明星高官，都被打回原型。一个肉罐头，就可以换到一个曾经风靡全国的美丽女明星。这是一个靠拳头说话的世界。              ",连载中,第312话
53,213184,我的V信是外挂,金橙动漫,https://oss.mkzcdn.com/comic/cover/20180829/5b861380bdbae-600x799.jpg!cover-400,"
              主角方麟大学毕业，购买了一部新手机，发现手机里面拥有神奇的V信，在回村之后，遭到逼债毁亲，主角决定利用V信的未来朋友圈干一番大事业。              ",连载中,第136话
54,212639,苍穹榜之圣灵纪,未天传媒,https://oss.mkzcdn.com/comic/cover/20180402/5ac1fb370d85a-591x788.!cover-400,"
              少年姜易年，前往灵路历练，他结交牧尘、林动、萧炎的后人、也俘获一颗芳心。在历练途中，他发现自己似乎与封印在囚牢位面的“邪灵族”有所关联。一段新的故事即将从这里开始……              ",连载中,停更公告
55,212122,皇后娘娘的五毛特效,万画筒漫画,https://oss.mkzcdn.com/comic/cover/20171018/59e74ae49aef2-600x800.jpg!cover-400,"
              【万画筒漫画出品】【每周五更新】巫赦月小姐，一位精通特效化妆技术的现代杀手；意外穿越到了古代相府的痴傻三小姐身上。面对一堆堆的白莲花绿茶婊、奇葩家人、找茬皇子、腹黑王爷...运用特效化妆、自制道具，过五关斩六将，稳步踏上皇后娘娘的宝座。              ",连载中,第222话
56,210894,遮天,神漫,https://oss.mkzcdn.com/comic/cover/20180330/5abdb4ef4a024-600x800.!cover-400,"
              遮天漫画由辰东小说改编！本书以九龙拉棺为引子，带出一个庞大的洪荒世界，无尽精彩，尽在其中。              ",连载中,停更公告
57,207993,噬龙蚁,踏雪动漫,https://oss.mkzcdn.com/comic/cover/20170828/59a3b955c770b-300x420.jpg!cover-400,"
              男主角郑浪死后转生到异界，成为一只蚂蚁。并得到古老的召唤师传承，和异界的小伙伴相遇，一起冒险的故事。              ",连载中,第266话
58,211907,豪门天价前妻,iCiyuan动漫,https://oss.mkzcdn.com/comic/cover/20190222/5c6f65dd5cdca-750x999.jpg!cover-400,"
              结婚两年，简沫挂着正妻的头衔当着顾北辰的暖床，时不时的还要应付他的绯闻，面对前来叫嚣的小三的同时，在床上让他满足…这一切早已成了习惯，可是突然有一天却收到了这样一句话：简沫，我们离婚吧。              ",连载中,第518话 阴谋再起
59,212500,邪魅老公,触岛漫画,https://oss.mkzcdn.com/comic/cover/20181203/5c04a75fb3224-750x999.JPG!cover-400,"
              家族破产，未婚夫将她甩掉。
雨雪纷飞的夜里，她遇上了金主厉君沉。
为挽救家族，她舍弃自己的尊严和骄傲，匍匐在男人脚下。
一夜过后，她带着金主高调炫富，却没有想到他竟然是……
——
真相大白那夜，她流下悔恨的眼泪，“原来一切都是你的阴谋。”
他清冷的看着她，“谋你，是我这辈子最大的错误。”
原来他从来没有爱过她。 
根据酷匠网小说《豪门婚宠：兽性老公夜夜撩》改编~              ",连载中,第230话 找上门
60,212627,武神天下,逐浪动漫,https://oss.mkzcdn.com/comic/cover/20181211/5c0f9fccbb411-750x999.jpg!cover-400,"
              边陲小城的废柴少年，一路高歌狂飙，打造一片属于自己的天下……以及后宫。根据“逐浪网”同名小说《武神天下》改编。              ",连载中,第109话 同仇敌忾
61,211285,据说我是王的女儿？,Kim Rek-na|Bi Chu,https://oss.mkzcdn.com/comic/cover/20190614/5d02f61cc90c6-750x999.jpg!cover-400,"
              在和心爱的人过着幸福日子的时候，却因意外死于非命…谁知道在异世重生后的她竟成了一国公主。然而这里的男尊女卑思想异常强烈！从一国之主兼自己亲爹的口中听到的第一句话竟然是放屁一般的“又生了个丫头！你应该感到羞愧！”              ",连载中,第477话 你怎么能丢下我一个人
62,212408,司少你老婆又跑了,iCiyuan动漫,https://oss.mkzcdn.com/comic/cover/20190924/5d896ffab5482-750x999.jpg!cover-400,"
              深藏功与名，白兔少女上演惊天逆袭。一切的莫名其妙，却又情理之中。偶然与必然，演技与心机，献身与失身，一切的一切都在他与她周围不断酝酿发酵。霸道军阀少帅与满级白兔少女的史诗恋歌！              ",连载中,第229话 司行霈的生日
63,212058,霸道总裁爱上我,开源动漫,https://oss.mkzcdn.com/comic/cover/20170930/59cf0b3e74bdb-420x560.jpg!cover-400,"
              绝路下她被迫接受天价交易，本以为钱货两清，没想到五年后再相逢。 他嘴上说着厌弃，身体却很诚实的耍流氓。她拼命守护的秘密忽然曝光，他誓要将她困在身边一睡到底！无耻！别以为你长得帅体力好就人见人爱！              ",连载中,第191话 我又来看你了
64,212349,明星是血族,咸鱼缸,https://oss.mkzcdn.com/comic/cover/20200218/5e4b480b6bb5f-750x1000.jpg!cover-400,"
              娱乐记者新人温巧巧偶然被当红明星白夜吸血，从而发现白夜是一名生活在现代的血族，为了保守秘密，被白夜以同居合同留在身边。而本是娱记的温巧巧也为了挖出白夜身后的娱乐圈血族辛秘而暗暗谋划中……              ",连载中,第195话 年下好兄弟
65,173373,仙逆,漫王杂志,https://oss.mkzcdn.com/comic/cover/20180104/5a4de6cc2761e-420x560.jpg!cover-400,"
              《漫王》杂志第一期作品。              ",连载中,第135话3 十代弟子
66,213058,狼少女养成记,赤砂,https://oss.mkzcdn.com/comic/cover/20191016/5da6b9a89b431-750x999.jpg!cover-400,"
              他是她的主人，她只是他捡回来的狼女。他高高在上，她只是万影楼里的编号小七。她是他亲手雕琢的最完美的作品，却没想到，再次皇宫相见，她身着赤金宫装，踮起脚，在他耳边轻声道，
“皇叔，这次你要派本宫去诱惑谁？”              ",连载中,第172话 妖言惑众
67,214084,邪气凛然,三福动漫,https://oss.mkzcdn.com/comic/cover/20190131/5c53097f1bf2c-750x999.jpg!cover-400,"
              主角陈阳，原本只是一个普通人，某日，忽然得到了一个机会：他将拥有可以控制自己运气的特殊本领！！随即桃花运，事业运，财运，纷涌而来……当一个人可以随意控制自己的运气的时候，那么，他的生活会变成如何？              ",连载中,第269话
