0,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
59,石黑龙传,黄玉郎 ,https://mhfm3tel.cdndm5.com/10/9572/9572_b.jpg,石黑龙透过昔日长洲五狮话事人金毛狮王，得悉全港黑白两道...,完结,第93回 空前绝后十二关,https://www.dm5.com/manhua-shiheilongzhuan/
60,龙虎五世第一部,黄玉郎 ,https://mhfm9tel.cdndm5.com/4/3237/3237_b.jpg,龙虎五世第一部漫画 ，六千五百万年以前，主宰着世界的是各...,完结,第100卷 ,https://www.dm5.com/manhua-longhuwushidiyibu/
61,街霸Ⅲ,许景琛 ,https://mhfm2tel.cdndm5.com/4/3734/20141104162815_180x240_26.jpg,街霸Ⅲ漫画 ，本作《街霸3》是根据CAPCOM同名格斗游戏改编...,完结,第115回 ,https://www.dm5.com/manhua-jieba/
62,皇朝君临,黄玉郎 ,https://mhfm2tel.cdndm5.com/39/38048/20170818155247_180x240_24.jpg,欢迎观看皇朝君临漫画,完结,第36回 大结局,https://www.dm5.com/manhua-huangchaojunlin/
63,神掌龙剑飞,黄玉郎 ,https://mhfm7tel.cdndm5.com/6/5186/20160902160226_180x240_27.jpg,龙剑飞在机缘巧合之下习得如来神掌，从此之后独步江湖，行...,完结,第72回 ,https://www.dm5.com/manhua-shenzhanglongjianfei/
64,温瑞安群侠传2,司徒剑桥 ,https://mhfm9tel.cdndm5.com/10/9447/20190620155726_180x240_21.jpg,剑试天下，何惧成败，沧海横流，方显英雄本色，群侠会聚，...,完结,第43回 来生.再见,https://www.dm5.com/manhua-wenruianqunxiachuan-2/
65,拳皇2001,永仁 ,https://mhfm3tel.cdndm5.com/1/640/640_b.jpg,KOF99的事件后，谜之秘密结社暴露其存在已过了一段日子了。...,完结,第200130卷 ,https://www.dm5.com/manhua-quanhuang-2001-kof-2001/
66,拳皇96,郑世杰 ,https://mhfm7tel.cdndm5.com/5/4949/4949_b.jpg,"拳皇96漫画 ，来自西方的“遥远彼地“一族,为了令他们的“...",完结,第5卷 ,https://www.dm5.com/manhua-quanhuang-96/
67,王风雷传,黄玉郎 ,https://mhfm1tel.cdndm5.com/5/4904/20190422105014_180x240_20.jpg,上帝要人灭亡！必先令其疯狂！！王风雷痛失至爱，竟置仇人...,完结,第60回 ,https://www.dm5.com/manhua-wangfengleizhuan/
68,大军阀,郑健和 ,https://mhfm6tel.cdndm5.com/16/15415/15415_b.jpg,大军阀漫画：由郑健和、邓志辉合作的港漫新作《大军阀》，...,完结,第55回 平安妹妹要行自己的路,https://www.dm5.com/manhua-dajunfa/
69,拳皇Ⅻ,邱福龙 ,https://mhfm7tel.cdndm5.com/7/6511/20160902152322_180x240_22.jpg,"来自西方的“遥远彼地“一族,为了令他们的“主“复活，需要...",完结,第12回 ,https://www.dm5.com/manhua-quanhuang/
70,绯色王城,依欢 ,https://mhfm6tel.cdndm5.com/55/54054/20191017105812_180x240_24.jpg,"血红色的宫殿里，发现不可说的君臣秘密……
大王自南...",完结,第8卷 ,https://www.dm5.com/manhua-feisewangcheng/
71,海虎Ⅰ,邓志辉 ,https://mhfm1tel.cdndm5.com/4/3575/20141104152310_180x240_22.jpg,海虎Ⅰ漫画 ，现今社会由於人类为了金钱与权力，不顾一切用...,完结,第48回 ,https://www.dm5.com/manhua-haihu1/
72,阴阳宅急便,陈汉明 ,https://mhfm7tel.cdndm5.com/22/21445/20170816114127_180x240.jpg,穿越生死，投递真情,完结,第80回 再现阴阳,https://www.dm5.com/manhua-yinyangzhaijibian/
73,武神海虎地狱,邓志辉 ,https://mhfm6tel.cdndm5.com/5/4342/4342.jpg,海域第三洋. 海虎與地獄緩緩的向天空島進發. 海虎和地獄當...,完结,第50回 ,https://www.dm5.com/manhua-wushenhaihudiyu/
74,笑傲江湖,李志清 ,https://mhfm3tel.cdndm5.com/4/3881/20160908152739_180x240_21.jpg,"江湖中人只知爭奪武林秘笈 不知我行我素亦能笑傲江湖   
...",完结,第26卷 ,https://www.dm5.com/manhua-xiaoaojianghu/
75,王风雷传2,黄玉郎 ,https://mhfm9tel.cdndm5.com/7/6458/20190422105136_180x240_27.jpg,上帝要人灭亡！必先令其疯狂！王风雷痛失至爱，竟置仇人剑...,完结,第48回 ,https://www.dm5.com/manhua-wangfengleichuan-2/
76,射雕英雄传,李志清 ,https://mhfm9tel.cdndm5.com/33/32097/20160929141332_180x240_14.jpg,根据金庸同名武侠巨著《射雕英雄传》改编，由李志清主...,完结,第38卷 ,https://www.dm5.com/manhua-shediaoyingxiongzhuan/
77,追球,常盘勇者 ,https://mhfm4tel.cdndm5.com/46/45607/20181130175043_180x240_19.jpg,腾远学院乒球社曾于二十年前险些染指学院杯冠军，但最...,完结,第36回 淋雨,https://www.dm5.com/manhua-zhuiqiu1/
78,我和天师有个约会,雪晴 ,https://mhfm7tel.cdndm5.com/22/21074/20171201092038_180x240_24.jpg,一个古怪的天师来我家除妖了！,完结,第65回 天穿,https://www.dm5.com/manhua-wohetianshiyougeyaohui/
79,绝世无双II,何志文 ,https://mhfm7tel.cdndm5.com/4/3502/20160831143451_180x240_20.jpg,"这是一个奇特的年代,奇特的江湖,一个身怀数百年基业复兴责...",完结,第128回 最终回,https://www.dm5.com/manhua-jueshiwushuang-ii/
80,神兵问天,黄玉郎 ,https://mhfm3tel.cdndm5.com/14/13108/13108_b.jpg,神兵问天，黄玉郎，神兵主角问天的分支故事,完结,第36回 天心仁爱碎绝兵,https://www.dm5.com/manhua-shenbingwentian/
81,英雄无泪,马荣成 ,https://mhfm1tel.cdndm5.com/4/3826/3826.jpg,"《英雄無淚》本是古龍的小說,講述英雄熱血的故事。書中人物...",完结,第203回 ,https://www.dm5.com/manhua-yingxiongwulei/
82,侠客行,林业庆 ,https://mhfm9tel.cdndm5.com/4/3063/3063.jpg,中国武侠小说大师金庸原著+香港顶级漫画大师黄玉郎监制+香...,完结,第27卷 ,https://www.dm5.com/manhua-xiakexing/
83,闻香识妻,左岸卡漫 ,https://mhfm2tel.cdndm5.com/37/36214/20180316110956_180x240_22.jpg,他身患奇症，她就是他的药,完结,公告 ,https://www.dm5.com/manhua-wenxiangshiqi/
84,龙飞不败,文情厚 ,https://mhfm9tel.cdndm5.com/1/286/20190320100911_180x240_18.jpg,飞龙不败漫画讲述的故事的主人公龙飞——视钱如命的赏金猎...,完结,外传：9 ,https://www.dm5.com/manhua-longfeibubai-feilongbubai/
85,边荒传说,黄玉郎 ,https://mhfm6tel.cdndm5.com/4/3809/3809.jpg,时值西晋年间，五胡入侵中原。氐秦之主苻坚在一统北方后，...,完结,第100回 ,https://www.dm5.com/manhua-bianhuangchuanshuo/
86,宛香,金爷 ,https://mhfm9tel.cdndm5.com/38/37704/20190610142429_180x240.jpg,本是媒妁之言，何以日久情深,完结,第168回 最后的最后（3）,https://www.dm5.com/manhua-wanxiang2/
87,古龙群侠传,岑卓华 ,https://mhfm3tel.cdndm5.com/6/5783/20160907104506_180x240_21.jpg,《古龙群侠传》改编自著名武侠小说家古龙先生六部脍炙人口...,完结,第85回 ,https://www.dm5.com/manhua-gulongqunxiazhuan/
88,义勇门,黄玉郎 ,https://mhfm7tel.cdndm5.com/4/3497/20141031165824_180x240_21.jpg,"义勇门漫画 ，满清末年,朝廷腐败、内忧外患不断。一个贫苦...",完结,第72回 ,https://www.dm5.com/manhua-yiyongmen/
