,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
67,厨厨动人,糖人家 ,https://mhfm4tel.cdndm5.com/53/52338/20190807091726_180x240.jpg,为了实现自己成为名厨的梦想，厨娘小荞决心逃离赵府外出历...,连载中,第68回 好戏,https://www.dm5.com/manhua-chuchudongren1/
68,武林之王的退隐生活,SF轻小说/合火人工作室 ,https://mhfm2tel.cdndm5.com/42/41809/20180427145256_180x240_26.jpg,今天开始，我退隐了。 但是我该做什么呢……我既没有一技之...,连载中,第95回 ,https://www.dm5.com/manhua-wulinzhiwangdetuiyinshenghuo/
69,超级共享男友系统,iCiyuan动漫&映梦社 ,https://mhfm3tel.cdndm5.com/49/48694/20190318120233_180x240.jpg,【每周四、周六更新】被发百张好人卡的极品衰男林易，偶得...,连载中,第56回 春宵一刻值千金？,https://www.dm5.com/manhua-chaojigongxiangnanyouxitong/
70,绝色医妃,涂山君 ,https://mhfm2tel.cdndm5.com/50/49911/20191018165008_180x240.jpg,第一次出任务就碰上事故，谁成想这一跃，竟成了那个溺水而...,连载中,第128回 沐初的婚约,https://www.dm5.com/manhua-jueseyifei/
71,王爷不能撩,轻漫文化 ,https://mhfm6tel.cdndm5.com/45/44325/20180815090038_180x240.jpg,这个王爷不能碰啊！,连载中,第157回 我们谈恋爱吧！,https://www.dm5.com/manhua-wangyebunengliao/
72,最强农民工,一直看x仟绘动漫 ,https://mhfm2tel.cdndm5.com/44/43831/20180803143531_180x240.jpg,【火爆日更】一个小小的维修工李青，原本过着普普通通的打...,连载中,第213回 回到维修部,https://www.dm5.com/manhua-zuiqiangnongmingong/
73,学霸哥哥别碰我,蜜夏动漫 ,https://mhfm7tel.cdndm5.com/46/45824/20190603102539_180x240.jpg,你们不要纠缠我！我不会搭理你们的！,连载中,第284回 能说的秘密,https://www.dm5.com/manhua-xuebagegebiepengwo/
74,系统逼我做皇后,六月雪工作室 ,https://mhfm1tel.cdndm5.com/50/49972/20190509114412_180x240.jpg,游戏手残莫小西，莫名其妙的穿越到自己玩的一款游戏当中，...,连载中,第170回 能不能再送我个信物？,https://www.dm5.com/manhua-xitongbiwozuohuanghou/
75,帝王怕怕·妃要坐拥天下,金橙动漫 ,https://mhfm8tel.cdndm5.com/48/47688/20190129092546_180x240.jpg,现代女杀手，在一次刺杀任务中被闺蜜陷害，意外穿越到古代...,连载中,第106回 ,https://www.dm5.com/manhua-diwangpapa-feiyaozuoyongtianxia/
76,万界神主,踏雪动漫&艾鲁猫 ,https://mhfm4tel.cdndm5.com/45/44909/20180831163345_180x240.jpg,从现代穿越到南州的古神——叶辰，成为了怡红院的主人。并...,连载中,第161回 追踪暗敌,https://www.dm5.com/manhua-wanjieshenzhu/
77,失业魔王,SF轻小说/汤力水 ,https://mhfm6tel.cdndm5.com/51/50976/20190614093102_180x240.jpg,他是因为被弹劾而失业的魔界之王，她是因为征伐失败下岗的...,连载中,第43回 ,https://www.dm5.com/manhua-shiyemowang/
78,妙手狂医,破界互动 ,https://mhfm5tel.cdndm5.com/55/54246/20191023143948_180x240.jpg,【每周五、周六更新】想成为倾城绝色吗？他可以帮你！想身...,连载中,第91回 目光短浅,https://www.dm5.com/manhua-miaoshoukuangyi/
79,修罗剑尊,漫莱坞 ,https://mhfm2tel.cdndm5.com/58/57418/20200210143418_180x240.jpg,万年前，刀祖于无妄山斩杀剑皇，从此下令屠尽天下剑修，世...,连载中,第36回 畜生变人，取名邪星,https://www.dm5.com/manhua-xiuluojianzun/
80,腹黑少爷小甜妻,冬漫社 ,https://mhfm2tel.cdndm5.com/57/56456/20200108165202_180x240.jpg,他是又哑又瘫的豪门弃子，她不介意世人的嘲笑，与他合作了...,连载中,第134回 行刺？,https://www.dm5.com/manhua-fuheishaoyexiaotianqi/
81,因为我是开武器店的大叔,怀世 ,https://mhfm5tel.cdndm5.com/34/33896/20190809143601_180x240.jpg,在异世界里不断思考自己到底是什么样的角色定义。 今天、开...,连载中,第177回 ,https://www.dm5.com/manhua-yinweiwoshikaiwuqidiandedashu/
82,超质体,燕子青 ,https://mhfm4tel.cdndm5.com/49/48269/20190301093210_180x240.jpg,帅哥美女超能力探索诡域大冒险！,连载中,第160回 探秘洞窟（18）,https://www.dm5.com/manhua-chaozhiti/
83,极品辣妈不好惹,掌阅 ,https://mhfm2tel.cdndm5.com/50/49591/20190807131236_180x240.jpg,他是权倾天下的军权继承人，一场意外，将她吃干抹净。四年...,连载中,第79回 君子报仇,https://www.dm5.com/manhua-jipinlamabuhaore/
84,最强纨绔系统,柒漫 ,https://mhfm7tel.cdndm5.com/54/53241/20190905095840_180x240.jpg,电竞界职业冠军突发意外穿越到异世界，成为落魄家族的纨绔...,连载中,第35回 一个亿,https://www.dm5.com/manhua-zuiqiangwankuxitong/
85,霸道总裁求抱抱,掌阅 ,https://mhfm7tel.cdndm5.com/50/49626/20190425162212_180x240.jpg,一晚缠绵，甩了两百块自认倒霉！以为从此是路人，却三番两...,连载中,第76回 你要乖乖的,https://www.dm5.com/manhua-badaozongcaiqiubaobao/
86,娇女毒妃,天津漫神共创 ,https://mhfm4tel.cdndm5.com/53/52495/20191016102522_180x240.jpg,重生而来，沐云瑶信奉三点：一不与人为善，二不斩草留根，...,连载中,第175回 ,https://www.dm5.com/manhua-jiaonvdufei/
87,隐婚蜜爱：总裁大叔的天价宝贝,杭漫文化 ,https://mhfm9tel.cdndm5.com/47/46219/20181211131828_180x240.jpg,她刚刚成年，亲手搅乱养父陆晟廷的婚礼“陆晟廷，我既要做...,连载中,第130回 陆总发怒了,https://www.dm5.com/manhua-yinhunmiai-zongcaidiedidetianjiabaobei/
88,捡个魔王当女仆,SF轻小说 ,https://mhfm3tel.cdndm5.com/54/53441/20190917085004_180x240.jpg,假如，你捡到一个巨乳女仆，你会怎么做？ 这个女仆银发红瞳...,连载中,第27回 ,https://www.dm5.com/manhua-jiangemowangdangnvpu/
89,法医狂妃,iCiyuan动漫&恒者工作室 ,https://mhfm7tel.cdndm5.com/43/42854/20181221103335_180x240.jpg,21世纪女法医，一朝穿成京都柳家不受宠的庶出大小姐！ 偶遇...,连载中,第140回 容溯遇险,https://www.dm5.com/manhua-fayikuangfei/
90,最强升级,掌阅 ,https://mhfm6tel.cdndm5.com/50/49627/20190722092153_180x240.jpg,系统在手，天下我有！女人我要最美！权力我要最大！身份我...,连载中,第85回 第七特供长老,https://www.dm5.com/manhua-zuiqiangshengji/
91,皇子的天降未婚妻,多蕴漫文化 ,https://mhfm2tel.cdndm5.com/55/54493/20191101143547_180x240.jpg,天上掉下个夏允，莫名成了异世界皇子的“假”未婚妻。不仅...,连载中,第131回 关到你肯说实话为止,https://www.dm5.com/manhua-huangzidetianjiangweihunqi/
92,兄控公爵嫁不得,多蕴漫文化 ,https://mhfm6tel.cdndm5.com/55/54486/20191101133847_180x240.jpg,堂堂一位贵族千金被迫嫁给一座声名狼藉的移动冰山，这简直...,连载中,第89回 你不再是我的夫人,https://www.dm5.com/manhua-xiongkonggongjuejiabude/
93,暴力俏丫头,iCiyuan动漫&艾鲁猫 ,https://mhfm4tel.cdndm5.com/48/47085/20190115133917_180x240.jpg,"（每周3,6双更）蒙冤而死的女主角重生归来，开启打脸复仇，...",连载中,第72回 将计就计！,https://www.dm5.com/manhua-baoliqiaocungu/
94,医妃倾城：王妃要休夫,阿柯文化 ,https://mhfm1tel.cdndm5.com/52/51652/20190711091900_180x240.jpg,【周二、周五更新】一朝穿越，却因一碗心头血差点丧命！更...,连载中,第63回 突如其来的吻？,https://www.dm5.com/manhua-yifeiqingcheng-wangfeiyaoxiufu/
95,吸血鬼男神,杭漫文化 ,https://mhfm7tel.cdndm5.com/43/42502/20191011162350_180x240.jpg,十八线演员被一只吸血鬼盯上了,连载中,第260回 他不会是要亲我吧？,https://www.dm5.com/manhua-xixueguinanshen/
96,最后的召唤师,ASK动画 ,https://mhfm2tel.cdndm5.com/47/46961/20181221164141_180x240.jpg,万物有灵。能够召唤万物之灵的人，被称为召唤师。自古以来...,连载中,第7回 鸦（6）,https://www.dm5.com/manhua-zuihoudezhaohuanshi/
97,萌宝来袭：妈咪我爹地呢？,阿柯文化 ,https://mhfm7tel.cdndm5.com/55/54733/20191112171733_180x240.jpg,女主叶弦歌原是凛山娱乐练习生，还没正式出道就被污蔑的艳...,连载中,第41回 强势助攻,https://www.dm5.com/manhua-mengbaolaixi-mamiwodiedine/
98,惹上首席总裁,有鹿文化 ,https://mhfm4tel.cdndm5.com/37/36374/20191021163432_180x240.jpg,不负责就算了，这个女人竟然还敢放下战书逃跑？,连载中,第126回 你没资格管！,https://www.dm5.com/manhua-reshangshouxizongcai/
99,荒野小屋,ASK动画&大叔酱 ,https://mhfm8tel.cdndm5.com/47/46391/20181121173423_180x240.jpg,神秘U市的一间废弃小屋内，突然钻出了巨大的怪物，疯狂的破...,连载中,第210回 雷电之力,https://www.dm5.com/manhua-huangyexiaowu/
100,她的微笑像颗糖,阿柯文化 ,https://mhfm1tel.cdndm5.com/53/52363/20190809143956_180x240.jpg,高二一班的徐静姝人冷话不多，若不是节节数学课被老师拎出...,连载中,第61回 云菲妹妹,https://www.dm5.com/manhua-tadeweixiaoxiangketang/
101,苍穹榜之圣灵纪,天蚕土豆/猴赛雷 ,https://mhfm2tel.cdndm5.com/42/41462/20180425143209_180x240_20.jpg,"【每周三，周五更新】原著：天蚕土豆。编绘：猴赛雷
少年...",连载中,停更公告 ,https://www.dm5.com/manhua-cangqiongbangzhishenglingji/
102,机长大人轻点爱,菲菲工作室 ,https://mhfm6tel.cdndm5.com/48/47606/20190124155531_180x240.jpg,高冷禁欲系机长遭遇顽强的神秘少女，终于一步一步变成宠妻...,连载中,第94回 罗斯伯爵的试探,https://www.dm5.com/manhua-jichangdarenqingdianai/
103,王爷你好贱,追梦动漫 ,https://mhfm6tel.cdndm5.com/32/31287/20181008142649_180x240.jpg,爱上的那个人，为何偏偏是一个贱皮子？,连载中,第547回 ,https://www.dm5.com/manhua-wangyenihaojian/
104,终极兵王混都市,绍兴凰漫 ,https://mhfm9tel.cdndm5.com/54/53157/20190902164221_180x240.jpg,隶属于Z国秘密顶级作战部队——雪狼战队，保持了雪狼战队有...,连载中,第72回 ,https://www.dm5.com/manhua-zhongjibingwanghundushi/
105,都市之修真归来,火星动漫 ,https://mhfm6tel.cdndm5.com/52/51323/20200117131333_180x240.jpg,【每周四，周六更新】修真六百年的仙尊叶天，渡劫失败，止...,连载中,第77回 华夏风骨,https://www.dm5.com/manhua-dushizhixiuzhenguilai/
