序号,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址,百度盘地址,提取码,是否发布
52,王风雷传2,黄玉郎 ,https://mhfm9tel.cdndm5.com/7/6458/20190422105136_180x240_27.jpg,上帝要人灭亡！必先令其疯狂！王风雷痛失至爱，竟置仇人剑...,完结,第48回 ,https://www.dm5.com/manhua-wangfengleichuan-2/,https://pan.baidu.com/s/1sG3NP4bSH2M3gq3bNal6tg,q17j,
53,总裁X宅女,阿柯文化 ,https://mhfm5tel.cdndm5.com/44/43636/20180731144723_180x240.jpg,可爱宅女走出虚拟世界，邂逅总裁？？！！什么嘛，第一次见...,完结,第77回 求婚,https://www.dm5.com/manhua-zongcai-x-zhainv/,,,
54,古龙群侠传,岑卓华 ,https://mhfm3tel.cdndm5.com/6/5783/20160907104506_180x240_21.jpg,《古龙群侠传》改编自著名武侠小说家古龙先生六部脍炙人口...,完结,第85回 ,https://www.dm5.com/manhua-gulongqunxiazhuan/,https://pan.baidu.com/s/1wCsHBOT88AudxGfHOIYhbA,vv8r,
55,超人迪加,邱福龙 ,https://mhfm9tel.cdndm5.com/4/3488/20141031155653_180x240_20.jpg,超人迪加漫画 ，以前旧系列中，奥特曼战士都是来自外星球的...,完结,第10回 ,https://www.dm5.com/manhua-chaorendijia/,https://pan.baidu.com/s/1j67ikD8qWPTwjooQBbPv8w,jgq9,
56,边荒传说,黄玉郎 ,https://mhfm6tel.cdndm5.com/4/3809/3809.jpg,时值西晋年间，五胡入侵中原。氐秦之主苻坚在一统北方后，...,完结,第100回 ,https://www.dm5.com/manhua-bianhuangchuanshuo/,https://pan.baidu.com/s/1PShUrHiI-9yB9-bPGBQgPA,iank,
57,海虎Ⅰ,邓志辉 ,https://mhfm1tel.cdndm5.com/4/3575/20141104152310_180x240_22.jpg,海虎Ⅰ漫画 ，现今社会由於人类为了金钱与权力，不顾一切用...,完结,第48回 ,https://www.dm5.com/manhua-haihu1/,https://pan.baidu.com/s/1B2CRiLgCDRWHfFvnLhvPXQ,n4s2,
58,神兵4,邱福龙 ,https://mhfm7tel.cdndm5.com/5/4462/20160907085822_180x240_25.jpg,神兵系列正传第四部，不可不看的精彩大作。版本已更新,完结,第72回 ,https://www.dm5.com/manhua-shenbing-4/,https://pan.baidu.com/s/1jJG9U_Sh3Daf36vkPEBEYQ,67d7,
59,射雕英雄传,李志清 ,https://mhfm9tel.cdndm5.com/33/32097/20160929141332_180x240_14.jpg,根据金庸同名武侠巨著《射雕英雄传》改编，由李志清主...,完结,第38卷 ,https://www.dm5.com/manhua-shediaoyingxiongzhuan/,https://pan.baidu.com/s/1-_WIjrbY4tHD4taTYkREiQ,812y,
60,阴阳宅急便,陈汉明 ,https://mhfm7tel.cdndm5.com/22/21445/20170816114127_180x240.jpg,穿越生死，投递真情,完结,第80回 再现阴阳,https://www.dm5.com/manhua-yinyangzhaijibian/,,,
61,拳皇Ⅻ,邱福龙 ,https://mhfm7tel.cdndm5.com/7/6511/20160902152322_180x240_22.jpg,"来自西方的“遥远彼地“一族,为了令他们的“主“复活，需要...",完结,第12回 ,https://www.dm5.com/manhua-quanhuang/,https://pan.baidu.com/s/1yL1e-6s9gDYyDOIM8mTtOQ,6p9e,
62,东周英雄传,郑问 ,https://mhfm3tel.cdndm5.com/3/2946/2946_b.jpg,总体来说，《东周英雄传》的水平在郑问的作品里属于上乘。...,完结,第3卷 ,https://www.dm5.com/manhua-dongzhouyingxiongchuan/,https://pan.baidu.com/s/1m7BpVNPVOOQau10cRns_vg,w6vi,
63,绝世无双II,何志文 ,https://mhfm7tel.cdndm5.com/4/3502/20160831143451_180x240_20.jpg,"这是一个奇特的年代,奇特的江湖,一个身怀数百年基业复兴责...",完结,第128回 最终回,https://www.dm5.com/manhua-jueshiwushuang-ii/,https://pan.baidu.com/s/1KahoVGhKpFb44zRWdjuv_Q,a5bg,
64,万岁,郑问 ,https://mhfm2tel.cdndm5.com/3/2948/2948_b.jpg,万岁漫画 ，个性即命运？一个与项羽命格、姓名都相同的男子...,完结,第1卷 ,https://www.dm5.com/manhua-wansui/,https://pan.baidu.com/s/1Q9UqmoLhqPrZofL0VvSqmQ,d72a,
65,英雄无泪,马荣成 ,https://mhfm1tel.cdndm5.com/4/3826/3826.jpg,"《英雄無淚》本是古龍的小說,講述英雄熱血的故事。書中人物...",完结,第203回 ,https://www.dm5.com/manhua-yingxiongwulei/,https://pan.baidu.com/s/1il_C1WNH2x1662z9egcszw,ikt8,
66,风云II,马荣成 ,https://mhfm5tel.cdndm5.com/1/295/295.jpg,聂风和步惊云，后连手打败雄霸，为武林除一大害的故事 ……...,完结,第90卷 ,https://www.dm5.com/manhua-fengyun-ii/,https://pan.baidu.com/s/1BsSpkuZhx3c5ZP6DCbm_aQ,qbe6,
67,功夫,邱福龙 ,https://mhfm6tel.cdndm5.com/8/7322/20160830141615_180x240_22.jpg,功夫一继[少林寺第8铜人]漫画版后港漫最强组合九把刀+邱福...,完结,第36回 最后一战,https://www.dm5.com/manhua-gongfu/,https://pan.baidu.com/s/1xL1pMosG_mO87lA7zRom2w,e625,
