,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
66,KYLOOE忧郁的蜻蜓,门小雷 ,https://mhfm4tel.cdndm5.com/15/14126/14126_b.jpg,KYLOOE忧郁的蜻蜓漫画 ，性格孤僻的少女蓝乐，为了融入集体...,连载中,第3回 ,https://www.dm5.com/manhua-kylooe-youyudeqingting/
67,钟馗森林,晓君+元凯 ,https://mhfm4tel.cdndm5.com/22/21717/20161226101143_180x240.jpg,【《钟馗森林》每周一更新，官方微博：晓君_元凯-钟馗森林...,连载中,第9回 同伴,https://www.dm5.com/manhua-zhongkuisenlin/
68,天乩之白蛇传说,追梦动漫 ,https://mhfm6tel.cdndm5.com/44/43105/20180919111712_180x240.jpg,人妖之恋，结局会怎样？,连载中,第38回 无疾兰之根,https://www.dm5.com/manhua-tianjizhibaishechuanshuo/
69,冥战录,韦宗成 ,https://mhfm8tel.cdndm5.com/18/17815/20150326141335_180x240_21.jpg,"故事以台湾的九二一地震後作为背景,此时群魔肆虐,警方更成...",连载中,第2卷 ,https://www.dm5.com/manhua-mingzhanlu/
70,赤红热血,邱瑞新 ,https://mhfm6tel.cdndm5.com/11/10840/10840_b.jpg,"瑞新继火武后的一部作品，是鼓惑仔类型的打斗漫画,欢迎在线...",连载中,第4回 ,https://www.dm5.com/manhua-chihongrexue/
71,小李飞刀,战无名 ,https://mhfm7tel.cdndm5.com/35/34111/20161213105252_180x240_25.jpg,出自古龙原著。,连载中,第4卷 ,https://www.dm5.com/manhua-xiaolifeidao-1/
72,欲望之翼,黄水斌 ,https://mhfm8tel.cdndm5.com/17/16625/16625_b.jpg,欲望之翼漫画：黄水斌新作，故事主角朴双玉：承诺在你们来...,连载中,第2回 ,https://www.dm5.com/manhua-yuwangzhiyi/
73,MatchU迷你萝莉养成记,茗卡通 ,https://mhfm3tel.cdndm5.com/45/44075/20180808181932_180x240.jpg,没有女友？不会穿搭？不要怕，可爱MatchU机器萌娘教你学穿...,连载中,第28回 ,https://www.dm5.com/manhua-matchu-miniluoliyangchengji/
74,PLAYer,漫行者-木3  ,https://mhfm3tel.cdndm5.com/18/17995/20150407164511_180x240_19.jpg,PLAYer-漫画 ， 许多故事都讲主角来到了网路游戏 遇到了许...,连载中,第36回 ,https://www.dm5.com/manhua-player/
75,聊斋传奇之令·狐·剑,黄玉郎 ,https://mhfm5tel.cdndm5.com/22/21433/20160106201944_180x240_21.jpg,天地自乾坤处动以来，太极两儀因清轻濁沉，割分出天上地下...,连载中,第1回 ,https://www.dm5.com/manhua-liaozhaichuanjizhiling-hu-jian/
