,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
46,疯狂的麦克斯：狂暴之路,VERTIGO ,https://mhfm9tel.cdndm5.com/19/18796/20150709103236_180x240_31.jpg,疯狂的麦克斯：狂暴之路漫画 ，本篇聚焦了反派nux和不死老...,完结,第4话 武装运输车,https://www.dm5.com/manhua-fengkuangdemaikesi-kuangbaozhilu/
47,超凡双子：重生,DC Comics ,https://mhfm2tel.cdndm5.com/36/35105/20170216084327_180x240_38.jpg,欢迎观看超凡双子：重生漫画：看小乔如何被米总一路带坏...,完结,特刊 ,https://www.dm5.com/manhua-chaofanshuangzi-chongsheng/
48,诸界之战,Marvel Comics  ,https://mhfm6tel.cdndm5.com/50/49091/20190624170953_180x240_25.jpg,十界之主争浮沉。仙父殁，血仇深。神锤难寻，空余孑然身。...,完结,尾声-托尔#15 ,https://www.dm5.com/manhua-zhujiezhizhan/
49,DOUBLE 7,Europe comics  ,https://mhfm5tel.cdndm5.com/58/57569/20200216130217_180x240_18.jpg,背景是1936年冬的西班牙内战，无情的战争夺走了一切……,完结,第1话 ,https://www.dm5.com/manhua-double-7/
50,哥谭怪物,DC Comics ,https://mhfm5tel.cdndm5.com/54/53380/20190912162629_180x240_23.jpg,当利维坦接管世界，当贝恩统治哥谭，这座城市中最凶险的角...,完结,第6话 ,https://www.dm5.com/manhua-getanguaiwu/
51,雷神托尔v5,Marvel Comics  ,https://mhfm8tel.cdndm5.com/44/43039/20190629093300_180x240_20.jpg,托尔v8漫画 ，托尔回来了！手持全新神锤再次成为雷霆之神！...,完结,第16话 ,https://www.dm5.com/manhua-tuoer-v-8/
52,复仇者和X战警：善恶轴心,Marvel Comics ,https://mhfm7tel.cdndm5.com/17/16566/20180903213028_180x240_25.jpg,善恶轴心漫画 ，《复仇者大战X战警》的余波，红骷髅偷走了X...,完结,第9话 ,https://www.dm5.com/manhua-shanezhouxin/
53,灭霸,Marvel Comics  ,https://mhfm8tel.cdndm5.com/34/33841/20161118102612_180x240_29.jpg,灭霸漫画 ，昨天刚刚开始的漫威闹全新连载《灭霸》第一期，...,完结,年刊 ,https://www.dm5.com/manhua-mieba/
54,蝙蝠侠：苍白骑士,DC Comics  ,https://mhfm4tel.cdndm5.com/39/38679/20171004223903_180x240_18.jpg,蝙蝠侠：苍白骑士漫画 ，“承认吧--是我把哥谭赐予了你.这...,完结,第8话 ,https://www.dm5.com/manhua-bianfuxia-cangbaiqishi/
55,屠杀美国,Marvel Comics ,https://mhfm3tel.cdndm5.com/16/15747/15747_b.jpg,屠杀美国漫画 ，屠杀美国是一个屠杀是毒液后代的故事，这是...,完结,第5话 ,https://www.dm5.com/manhua-tushameiguo/
56,死侍屠杀漫威宇宙：卷土重来,Marvel Comics ,https://mhfm2tel.cdndm5.com/38/37375/20170707141016_180x240_29.jpg,超级英雄接连遇害，神秘连环杀手浮出水面！他到底是受人指...,完结,第5话 ,https://www.dm5.com/manhua-sishitushamanweiyuzhou-juantuchonglai/
57,异人：灭族之殇,Marvel Comics ,https://mhfm9tel.cdndm5.com/44/43053/20180705161133_180x240_18.jpg,当造物主对自己的创造品展开肃清，一度强盛的异人族瞬间面...,完结,第5话 ,https://www.dm5.com/manhua-yiren-miezuzhishang/
58,秘密战争,Marvel Comics ,https://mhfm2tel.cdndm5.com/8/7907/20181112093954_180x240_15.jpg,S.H.E.I.L.D.天盾局局长Nick Fury调查得出Latveria(即Dr.Do...,完结,第9话 脉动#04,https://www.dm5.com/manhua-mimizhanzheng/
59,鹰眼,Marvel Comics  ,https://mhfm3tel.cdndm5.com/11/10793/20180825162301_180x240_15.jpg,鹰眼（Clint“FrancisBarton），是Marvel漫画的超级英雄，...,完结,年刊01 ,https://www.dm5.com/manhua-yingyan/
60,中古战锤：惩罪之火,boom  ,https://mhfm4tel.cdndm5.com/41/40675/20190308202502_180x240_22.jpg,中古战锤：惩罪之火漫画 ，集法官、审判、行刑人为一身，这...,完结,第5话 ,https://www.dm5.com/manhua-zhongguzhanchui-chengzuizhihuo/
61,终极漫画鹰眼,Marvel Comics ,https://mhfm4tel.cdndm5.com/17/16766/20141113155539_180x240_19.jpg,终极漫画鹰眼漫画 ，终极鹰眼帅气地单刷超人类副本！,完结,第4话 ,https://www.dm5.com/manhua-zhongjimanhuayingyan/
62,美国队长v5,Marvel Comics ,https://mhfm6tel.cdndm5.com/12/11995/20150425103621_180x240_22.jpg,冬日战士亦称“冬兵”。惊奇漫画的超级英雄之一。美国队长...,完结,75周年纪念刊 ,https://www.dm5.com/manhua-meiguoduichang-v-5/
63,蝙蝠侠：致命玩笑,DC Comics ,https://mhfm5tel.cdndm5.com/8/7495/20180818131842_180x240_23.jpg,DC漫画公司编剧：Alan Moore 绘画：Brian Bolland 色彩：Jo...,完结,第1话 ,https://www.dm5.com/manhua-bianfuxia-zhimingwanxiao/
64,新52黑暗正义联盟,DC Comics ,https://mhfm1tel.cdndm5.com/10/9725/20180926211948_180x240_23.jpg,我的名字叫上都夫人，曾经试图窥探未来。而未来也反过来打...,完结,第40话 ,https://www.dm5.com/manhua-xin-52-heianzhengyilianmeng/
65,新超人,DC Comics ,https://mhfm7tel.cdndm5.com/28/27871/20180821222927_180x240_24.jpg,"新超人v1漫画 ，救人性命，拿人钱财，天经地义
编辑部你给...",完结,第24话 ,https://www.dm5.com/manhua-xinchaoren/
66,蝙蝠侠：阿卡姆骑士,DC Comics ,https://mhfm2tel.cdndm5.com/18/17641/20150520101538_180x240_22.jpg,蝙蝠侠：阿卡姆骑士漫画 ，剧情紧接阿卡姆之城后。小丑已死...,完结,罗宾特刊 ,https://www.dm5.com/manhua-bianfuxia-akamuqishi/
67,复仇者vsX战警,Marvel Comics ,https://mhfm1tel.cdndm5.com/10/9140/20180903194345_180x240_24.jpg,猩红女巫——复仇者，万磁王之女。仅仅说了三个字，她那能...,完结,第12话 ,https://www.dm5.com/manhua-fuchouzhe-vsx-zhanjing/
68,擎天柱,IDW  ,https://mhfm8tel.cdndm5.com/35/34251/20180728100924_180x240_22.jpg,擎天柱漫画 ，从赛博坦人手中拯救人类的唯一方法——就是让...,完结,第25话 ,https://www.dm5.com/manhua-qingtianzhu/
