,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
75,秒杀外挂太强了，异世界的家伙们根本就不是对手。－AΩ－,纳都花丸  藤孝刚志  成濑ちさと  ,https://mhfm9tel.cdndm5.com/43/42538/20180606140555_180x240_23.jpg,秒杀外挂太强了，异世界的家伙们根本就不是对手。－AΩ－漫...,连载中,第10话 ,https://www.dm5.com/manhua-miaoshawaiguataiqiangle-yishijiedejiahuomengenbenjiubushiduishou-a/
76,A级冒险者的田园生活,蕨野くげ子 ,https://mhfm4tel.cdndm5.com/54/53321/20190908145428_180x240_28.jpg,厌倦了冒险者生活的屠龙勇士阿德雷德解散了队伍，来到了遥...,连载中,第6话 ,https://www.dm5.com/manhua-a-jimaoxianzhedetianyuanshenghuo/
77,因为太怕痛就全点防御力了,おいもとじろう 夕蜜柑  ,https://mhfm8tel.cdndm5.com/43/42412/20180530232450_180x240_23.jpg,因为太怕痛就全点防御力了漫画 ，在友人的劝诱之下开始了名...,连载中,第11话 ,https://www.dm5.com/manhua-yinweitaipatongjiuquandianfangyulile/
78,我成为了解决剧情需求的皇女角色,米田和佐 ,https://mhfm9tel.cdndm5.com/56/55884/20191215222737_180x240_23.jpg,又名转生后沦为工具人皇女。,连载中,第4.3话 ,https://www.dm5.com/manhua-wochengweilejiejuejuqingxuqiudehuangnvjiaose/
79,只有无职是不会辞去的,桥本良太 ,https://mhfm8tel.cdndm5.com/42/41405/20190606113113_180x240_25.jpg,求职100连败的一之丞被卷入卡车事故（大概）中而转生到异世...,连载中,第14话 ,https://www.dm5.com/manhua-zhiyouwuzhishibuhuiciqude/
80,29岁单身冒险家的日常,奈良一平 ,https://mhfm3tel.cdndm5.com/23/22675/20190204160440_180x240_30.jpg,要有这些福利我也愿意单身啊……！,连载中,第44话 ,https://www.dm5.com/manhua-29-suidanshenmaoxianjiaderichang/
81,转生史莱姆日记,伏濑 ,https://mhfm8tel.cdndm5.com/43/42078/20180512184310_180x240_24.jpg,转生史莱姆日记漫画 ，萌王利姆露与他森林居民的日常,连载中,第32话 ,https://www.dm5.com/manhua-zhuanshengshilaimuriji/
82,天才王子的赤字国家振兴术,ファルまろ ,https://mhfm6tel.cdndm5.com/55/54031/20191015212421_180x240_23.jpg,天才王子的赤字国家振兴术漫画 ，担负着没有资源、人才、兵...,连载中,特别篇03 ,https://www.dm5.com/manhua-tiancaiwangzidechiziguojiazhenxingshu/
83,致不灭的你,大今良时 ,https://mhfm4tel.cdndm5.com/34/33744/20190509174014_180x240_16.jpg,欢迎观看致不灭的你漫画 ，大今良时回归少年magazine 50期...,连载中,第119话 限制（2）,https://www.dm5.com/manhua-zhibumiedeni/
84,陆道,松原利光  ,https://mhfm4tel.cdndm5.com/19/18529/20180909154359_180x240_27.jpg,虐待自己孩子的父亲欠债太多上吊自杀了，催债人进入屋子，...,连载中,第106话 用钱买不来的东西,https://www.dm5.com/manhua-liudao/
85,努力过头的世界最强武斗家，在魔法世界轻松过生活。,わんこそば ,https://mhfm3tel.cdndm5.com/49/48952/20190716105515_180x240_33.jpg,欢迎观看わんこそば，ながつきまさ美老师的漫画努力过头的...,连载中,第11话 ,https://www.dm5.com/manhua-nuliguotoudeshijiezuiqiangwudoujia-zaimofashijieqingsongguoshenghuo/
86,擅长捉弄人的(原)高木同学,稻叶光史 ,https://mhfm3tel.cdndm5.com/38/37511/20190209203334_180x240_14.jpg,成为妈妈的（原）高木同学与她的女儿小千送上的家庭喜剧。...,连载中,第118话 ,https://www.dm5.com/manhua-shanchangzhuolongrende-yuan-gaomutongxue/
87,被称为千剑魔术师的剑士,高光晶 ,https://mhfm6tel.cdndm5.com/53/52176/20190825220103_180x240_22.jpg,将此世间所有绝望，失序斩断异世界战斗幻想故事,连载中,第8话 ,https://www.dm5.com/manhua-beichenweiqianjianmoshushidejianshi/
88,被称为废物的原英雄、被家里流放后随心所欲地活下去,红月シン ,https://mhfm8tel.cdndm5.com/53/52269/20190802172352_180x240_24.jpg,前世曾是救世英雄的少年·阿伦今生却成了没有?天赐?的“废物...,连载中,第8话 ,https://www.dm5.com/manhua-beichenweifeiwudeyuanyingxiong-beijialiliufanghousuixinsuoyudihuoxiaqu/
