,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
77,梦魇蝙蝠侠,DC Comics  ,https://mhfm6tel.cdndm5.com/39/38504/20170921230826_180x240_27.jpg,梦靥蝙蝠侠漫画 ，“我不可能时刻无处不在，所以我没能救下...,连载中,第7话 狂笑之蝠,https://www.dm5.com/manhua-mengyebianfuxia/
78,环太平洋前传,legendary ,https://mhfm3tel.cdndm5.com/13/12976/12976_b.jpg,环太平洋前传漫画 ，为了抵御海洋怪兽们越来越频繁、破坏性...,连载中,第1话 ,https://www.dm5.com/manhua-huantaipingyangqianzhuan/
79,小丑-哈莉：犯罪理智,DC Comis ,https://mhfm7tel.cdndm5.com/54/53869/20191009231420_180x240_14.jpg,本月第二本聚焦于哈莉与小丑间故事的黑标作品。但在这个世...,连载中,第3话 ,https://www.dm5.com/manhua-xiaochou-hali-fanzuilizhi/
80,终极漫画金刚狼,Marvel Comics ,https://mhfm4tel.cdndm5.com/13/12573/12573_b.jpg,终极漫画金刚狼 漫画 ，金刚狼是出现在惊奇漫画(Marvel)出...,连载中,第4话 ,https://www.dm5.com/manhua-zhongjimanhuajinganglang/
81,露易丝·莱恩,DC Comic ,https://mhfm5tel.cdndm5.com/52/51497/20190703213021_180x240_25.jpg,这是一个我们很熟悉的女人，她的父亲位高权重，她的丈夫和...,连载中,第8话 ,https://www.dm5.com/manhua-luyisi-laien/
82,蜘蛛格温：幽灵蜘蛛,Marvel Comics  ,https://mhfm6tel.cdndm5.com/48/47516/20190626095208_180x240_23.jpg,在经历了《蜘蛛末日》，格温悼念了逝去的故友后，决定暂别...,连载中,第10话 ,https://www.dm5.com/manhua-zhizhugewen-youlingzhizhu/
83,蝙蝠侠：苍白骑士的诅咒,DC Comic ,https://mhfm4tel.cdndm5.com/53/52039/20190724192515_180x240_19.jpg,又一本聚焦于蝙蝠侠的黑标系列，肖恩·墨菲带着他的宇宙归来...,连载中,第6话 ,https://www.dm5.com/manhua-bianfuxia-cangbaiqishidezuzhou/
84,哥谭街头,Dustin Nguyen ,https://mhfm7tel.cdndm5.com/18/17712/20180724103401_180x240_22.jpg,即使在圣诞夜，哥谭街头依然能见到缩水版活力双雄的身影，...,连载中,第9话 ,https://www.dm5.com/manhua-getanjietou/
85,沙赞,Detective Comics ,https://mhfm3tel.cdndm5.com/47/46651/20181205182227_180x240_25.jpg,GJ与魔法少年比利一同归来了！  与之一道的还有整个神奇家...,连载中,第10话 ,https://www.dm5.com/manhua-shazan/
86,TRANSFORMERS,IDW ,https://mhfm9tel.cdndm5.com/8/7243/7243_b.jpg,《变形金刚》漫画中文版，由TFC翻译组汉化,连载中,第35话 ,https://www.dm5.com/manhua-transformers/
87,帮帮忙劫先森,佚名 ,https://mhfm2tel.cdndm5.com/21/20729/20151021140508_180x240_18.jpg,帮帮忙劫先森漫画 ，可爱的同人漫画。,连载中,02部07话 ,https://www.dm5.com/manhua-bangbangmangjiexiansen/
88,终极漫画：灾变,Marvel Comics  ,https://mhfm4tel.cdndm5.com/43/42062/20180511091535_180x240_22.jpg,终极漫画：灾变漫画 ，在另一个维度里超级人类之间因为滥用...,连载中,第1话 ,https://www.dm5.com/manhua-zhongjimanhua-zaibian/
89,秘密扭曲,Marvel Comics  ,https://mhfm5tel.cdndm5.com/52/51628/20190709112037_180x240_26.jpg,还记得《秘密战争》中那个脑洞大开的融合宇宙吗？如今的漫...,连载中,第5话 钢铁之锤,https://www.dm5.com/manhua-miminiuqu/
90,莎拉的涂鸦,莎拉·安徒生 ,https://mhfm2tel.cdndm5.com/51/50266/20190520102216_180x240_18.jpg,说明就写全世界社恐美少女的尬聊指南，内向女孩的独有小秘...,连载中,网红墙 ,https://www.dm5.com/manhua-shaladetuya/
91,不义联盟2,DC Comics ,https://mhfm3tel.cdndm5.com/42/41332/20180326150938_180x240_26.jpg,超人被囚禁，现在轮到蝙蝠侠将世界重新从碎片拼回。但是超...,连载中,第6话 ,https://www.dm5.com/manhua-buyilianmeng-2/
92,超人与蝙蝠侠v1,DC Comics  ,https://mhfm7tel.cdndm5.com/3/2899/20160902090520_180x240_27.jpg,蝠侠的努力下过着平静祥和的日子，但佐克却千方百计要破坏...,连载中,第416话 ,https://www.dm5.com/manhua-chaorenyubianfuxia-v-1/
93,X战警V5,Marvel Comics  ,https://mhfm2tel.cdndm5.com/55/54053/20191017092820_180x240_23.jpg,看多了X教授的神级操作，如今我们终于又将焦点投向了X战警...,连载中,第6话 ,https://www.dm5.com/manhua-x-zhanjing-v-5/
94,少年正义联盟V3,DC Comics ,https://mhfm4tel.cdndm5.com/48/47290/20190110092509_180x240_26.jpg,熟悉的成员，熟悉的团队，在全新的时代迎来了全新的故事！...,连载中,第13话 ,https://www.dm5.com/manhua-shaonianzhengyilianmeng-v-3/
95,蝙蝠侠与罗宾：不朽传奇,DC Comics  ,https://mhfm4tel.cdndm5.com/22/21778/20180818143541_180x240_22.jpg,蝙蝠侠与罗宾：不朽传奇漫画 ，兄弟聚首!迪克回到哥谭执行...,连载中,第10卷 ,https://www.dm5.com/manhua-bianfuxiayuluobin-buxiuchuanqi/
96,康斯坦丁,DC Comics ,https://mhfm2tel.cdndm5.com/12/11588/20180901144601_180x240_21.jpg,康斯坦丁是dc公司旗下面向成人读者的漫画系列vertigo推出的...,连载中,第17话 ,https://www.dm5.com/manhua-kangsitanding/
